Symbol Name, Symbol Address, Function Size, Matched
processInitFunction__2MRFP9LiveActorRC12JMapInfoIterPCcb,8000C1E0,10,false
processInitFunction__2MRFP9LiveActorRC12JMapInfoIterPCcPCcb,8000C1F0,10,false
processInitFunction__2MRFP9LiveActorPCcb,8000C200,44,false
processInitFunction__2MRFP9LiveActorPCcPCcb,8000C250,44,false
makeInitActorPath__2MRFPCcPCc,8000C2A0,68,false
isValidInitActorPath__2MRFPCcPCc,8000C310,28,false
processInitFunction__2MRFP9LiveActorRC12JMapInfoIterPCcbPCcb,8000C340,A98,false
processInitFunction__2MRFP9LiveActorPCcbb,8000CDE0,48,false
processInitFunction__2MRFP9LiveActorPCcbPCcb,8000CE30,4C,false
initDefaultPos__2MRFP9LiveActorRC12JMapInfoIter,8000CE80,B4,false
getDefaultPos__2MRFP9LiveActorRC12JMapInfoIter,8000CF40,68,false
isValid__12JMapInfoIterCFv,8000CFB0,5C,false
tryInitFromRestartPos__2MRFP9LiveActorRC12JMapInfoIter,8000D010,48,false
sub_8000D060,8000D060,78,false
initSensors__2MRFP9LiveActorPCcPCc,8000D0E0,23C,false
initSwitches__2MRFP9LiveActorRC12JMapInfoIterPCcPCc,8000D320,2FC,false
loadTexFromArc__2MRFP9LiveActorPCcPCc,8000D620,5C,false
__ct__10JUTTextureFPC7ResTIMGUc,8000D680,44,false
loadTexFromArc__2MRFP9LiveActorPCc,8000D6D0,74,false
dot__Q29JGeometry8TVec3_f_CFRCQ29JGeometry8TVec3_f_,8000D750,20,false
scale__Q29JGeometry8TVec3_f_FfRCQ29JGeometry8TVec3_f_,8000D770,28,false
inv_sqrt__Q29JGeometry8TUtil_f_Ff,8000D7A0,38,false
asin__Q29JGeometry8TUtil_f_Ff,8000D7E0,9C,false
scale__Q29JGeometry8TVec4_f_Ff,8000D880,34,false
sub_8000D8C0,8000D8C0,28,false
sub_8000D8F0,8000D8F0,58,false
sub_8000D950,8000D950,58,false
sub_8000D9B0,8000D9B0,5C,false
sub_8000DA10,8000DA10,5C,false
sub_8000DA70,8000DA70,5C,false
calcDistance__2MRFPC9HitSensorPC9HitSensorPQ29JGeometry8TVec3_f_,8000DAD0,A4,false
PSVECSubtract__14JMathInlineVECFPC3VecPC3VecP3Vec,8000DB80,24,false
zero__Q29JGeometry8TVec3_f_Fv,8000DBB0,14,false
calcDistance__2MRFPC9LiveActorRCQ29JGeometry8TVec3_f_,8000DBD0,8,false
